x_power,Y_power,q_power,coefficient,monomial
1,1,1,1628607019847/196830,x*Y*q_d
1,2,1,-482322540249913/18895680,x*Y^2*q_d
1,3,1,-72675625761389/9447840,x*Y^3*q_d
1,4,1,4742749073193883/50388480,x*Y^4*q_d
1,5,1,-8217856743514487/100776960,x*Y^5*q_d
1,6,1,-5714108266112929/67184640,x*Y^6*q_d
1,7,1,22831239712038217/134369280,x*Y^7*q_d
1,8,1,-13765930362498041/268738560,x*Y^8*q_d
1,9,1,-2152727426524829/35831808,x*Y^9*q_d
1,10,1,9087070856949127/214990848,x*Y^10*q_d
1,11,1,-750205279476989/429981696,x*Y^11*q_d
1,12,1,-109039614065123/35831808,x*Y^12*q_d
2,-5,1,65536/105,x^2*Y^-5*q_d
2,-4,1,333824/45,x^2*Y^-4*q_d
2,-3,1,2259856/405,x^2*Y^-3*q_d
2,-2,1,-46388392/405,x^2*Y^-2*q_d
2,-1,1,214281439/1215,x^2*Y^-1*q_d
2,0,1,27072741839/21870,x^2*q_d
2,1,1,-73129907413/19440,x^2*Y*q_d
2,2,1,-285013483757/116640,x^2*Y^2*q_d
2,3,1,1648062926003083/75582720,x^2*Y^3*q_d
2,4,1,-401584000922161/16796160,x^2*Y^4*q_d
2,5,1,-4457848239442699/201553920,x^2*Y^5*q_d
2,6,1,29100359530444897/403107840,x^2*Y^6*q_d
2,7,1,-41046438107737141/806215680,x^2*Y^7*q_d
2,8,1,-28325254008703117/1612431360,x^2*Y^8*q_d
2,9,1,15358637290729229/358318080,x^2*Y^9*q_d
2,10,1,-12650107422735503/716636160,x^2*Y^10*q_d
2,11,1,-7233907155263369/4299816960,x^2*Y^11*q_d
2,12,1,3224139883900915/1719926784,x^2*Y^12*q_d
3,-4,1,126976/315,x^3*Y^-4*q_d
3,-3,1,-72704/135,x^3*Y^-3*q_d
3,-2,1,-172544/405,x^3*Y^-2*q_d
3,-1,1,17309692/243,x^3*Y^-1*q_d
3,0,1,-532334737/3645,x^3*q_d
3,1,1,-19633762441/43740,x^3*Y*q_d
3,2,1,97764367949/43740,x^3*Y^2*q_d
3,3,1,-4635572885549/2099520,x^3*Y^3*q_d
3,4,1,-25375562489455/5038848,x^3*Y^4*q_d
3,5,1,291709323380953/20155392,x^3*Y^5*q_d
3,6,1,-2156328574629287/201553920,x^3*Y^6*q_d
3,7,1,-97851805669873/16796160,x^3*Y^7*q_d
3,8,1,6127839782308853/403107840,x^3*Y^8*q_d
3,9,1,-483414158505019/50388480,x^3*Y^9*q_d
3,10,1,1364515264721021/1209323520,x^3*Y^10*q_d
3,11,1,5069431026231803/3869835264,x^3*Y^11*q_d
3,12,1,-5954497918065151/12899450880,x^3*Y^12*q_d
4,-2,1,74752/135,x^4*Y^-2*q_d
4,-1,1,571904/405,x^4*Y^-1*q_d
4,0,1,-7122488/405,x^4*q_d
4,1,1,2246156581/29160,x^4*Y*q_d
4,2,1,-1792687349/174960,x^4*Y^2*q_d
4,3,1,-400924177073/699840,x^4*Y^3*q_d
4,4,1,5618792498723/4199040,x^4*Y^4*q_d
4,5,1,-144920995009793/201553920,x^4*Y^5*q_d
4,6,1,-750050208878497/403107840,x^4*Y^6*q_d
4,7,1,2931342670230623/806215680,x^4*Y^7*q_d
4,8,1,-3454441245152701/1612431360,x^4*Y^8*q_d
4,9,1,-405167699056477/1289945088,x^4*Y^9*q_d
4,10,1,10926690442181059/12899450880,x^4*Y^10*q_d
4,11,1,-4213193180422807/15479341056,x^4*Y^11*q_d
4,12,1,1396387522484549/154793410560,x^4*Y^12*q_d
5,0,1,114688/405,x^5*q_d
5,1,1,1169936/405,x^5*Y*q_d
5,2,1,-4112947/243,x^5*Y^2*q_d
5,3,1,6699813857/174960,x^5*Y^3*q_d
5,4,1,118719739/5184,x^5*Y^4*q_d
5,5,1,-67162298495/279936,x^5*Y^5*q_d
5,6,1,38678118060241/100776960,x^5*Y^6*q_d
5,7,1,-22908068599357/134369280,x^5*Y^7*q_d
5,8,1,-35064157364005/161243136,x^5*Y^8*q_d
5,9,1,136848636020999/403107840,x^5*Y^9*q_d
5,10,1,-61883800232723/403107840,x^5*Y^10*q_d
5,11,1,-4352247222659/806215680,x^5*Y^11*q_d
5,12,1,622941728604223/38698352640,x^5*Y^12*q_d
6,2,1,80752/1215,x^6*Y^2*q_d
6,3,1,1384880/729,x^6*Y^3*q_d
6,4,1,-132472739/17496,x^6*Y^4*q_d
6,5,1,10968164081/933120,x^6*Y^5*q_d
6,6,1,98553295787/16796160,x^6*Y^6*q_d
6,7,1,-3556286300383/80621568,x^6*Y^7*q_d
6,8,1,41772661962241/806215680,x^6*Y^8*q_d
6,9,1,-56523044038951/3224862720,x^6*Y^9*q_d
6,10,1,-1160529599803/143327232,x^6*Y^10*q_d
6,11,1,100764092109499/12899450880,x^6*Y^11*q_d
6,12,1,-9738991396589/5159780352,x^6*Y^12*q_d
7,4,1,8918/729,x^7*Y^4*q_d
7,5,1,27392519/43740,x^7*Y^5*q_d
7,6,1,-20331619/10935,x^7*Y^6*q_d
7,7,1,73571846887/33592320,x^7*Y^7*q_d
7,8,1,85175396747/403107840,x^7*Y^8*q_d
7,9,1,-5744003174077/1612431360,x^7*Y^9*q_d
7,10,1,9844666513549/3224862720,x^7*Y^10*q_d
7,11,1,-521133422089/1289945088,x^7*Y^11*q_d
7,12,1,-3344224472911/12899450880,x^7*Y^12*q_d
8,6,1,247303/43740,x^8*Y^6*q_d
8,7,1,1082851/9720,x^8*Y^7*q_d
8,8,1,-1382585323/5598720,x^8*Y^8*q_d
8,9,1,253406100185/1289945088,x^8*Y^9*q_d
8,10,1,-152637939853/4299816960,x^8*Y^10*q_d
8,11,1,-422077434751/5159780352,x^8*Y^11*q_d
8,12,1,2748771589277/51597803520,x^8*Y^12*q_d
9,8,1,67228/32805,x^9*Y^8*q_d
9,9,1,258878221/25194240,x^9*Y^9*q_d
9,10,1,-40209755887/2418647040,x^9*Y^10*q_d
9,11,1,76021136681/19349176320,x^9*Y^11*q_d
9,12,1,3398761961/3224862720,x^9*Y^12*q_d
10,10,1,8588377/25194240,x^10*Y^10*q_d
10,11,1,30941687/75582720,x^10*Y^11*q_d
10,12,1,-1137312883/1934917632,x^10*Y^12*q_d
11,12,1,25529833/1209323520,x^11*Y^12*q_d
0,-6,2,-16256/315,Y^-6*q_d^2
0,-5,2,-331648/189,Y^-5*q_d^2
0,-4,2,-60775424/2835,Y^-4*q_d^2
0,-3,2,-885901952/8505,Y^-3*q_d^2
0,-2,2,-174614219/3645,Y^-2*q_d^2
0,-1,2,2315741303/2187,Y^-1*q_d^2
0,0,2,73692369379/52488,q_d^2
0,1,2,-2290478352023/393660,Y*q_d^2
0,2,2,-834222170754409/151165440,Y^2*q_d^2
0,3,2,3149145738076853/151165440,Y^3*q_d^2
0,4,2,1404029981128979/604661760,Y^4*q_d^2
0,5,2,-40719262200383/1119744,Y^5*q_d^2
0,6,2,2283024807598291/134369280,Y^6*q_d^2
0,7,2,583457957509151/26873856,Y^7*q_d^2
0,8,2,-218705667232745/11943936,Y^8*q_d^2
0,9,2,-41841510703447/17915904,Y^9*q_d^2
0,10,2,1375330753428485/286654464,Y^10*q_d^2
0,11,2,-18434647981799/95551488,Y^11*q_d^2
0,12,2,-48958630745255/127401984,Y^12*q_d^2
0,13,2,-127776814165/7962624,Y^13*q_d^2
1,-5,2,-91136/105,x*Y^-5*q_d^2
1,-4,2,-12838016/945,x*Y^-4*q_d^2
1,-3,2,-138738592/2835,x*Y^-3*q_d^2
1,-2,2,14982176/135,x*Y^-2*q_d^2
1,-1,2,1817027002/3645,x*Y^-1*q_d^2
1,0,2,-14531169481/10935,x*q_d^2
1,1,2,-166390148503/87480,x*Y*q_d^2
1,2,2,3812708784601/393660,x*Y^2*q_d^2
1,3,2,-23256459779347/7558272,x*Y^3*q_d^2
1,4,2,-4081012447789621/151165440,x*Y^4*q_d^2
1,5,2,1660517930532949/50388480,x*Y^5*q_d^2
1,6,2,2770450478336377/201553920,x*Y^6*q_d^2
1,7,2,-4456683337305157/100776960,x*Y^7*q_d^2
1,8,2,92287612653539/5971968,x*Y^8*q_d^2
1,9,2,1223886900904409/89579520,x*Y^9*q_d^2
1,10,2,-207778417198163/23887872,x*Y^10*q_d^2
1,11,2,-837600786862021/1074954240,x*Y^11*q_d^2
1,12,2,391295869569437/429981696,x*Y^12*q_d^2
1,13,2,5170146129533/107495424,x*Y^13*q_d^2
2,-4,2,-161792/105,x^2*Y^-4*q_d^2
2,-3,2,-310784/63,x^2*Y^-3*q_d^2
2,-2,2,9965704/405,x^2*Y^-2*q_d^2
2,-1,2,-26106856/405,x^2*Y^-1*q_d^2
2,0,2,-168606221/486,x^2*q_d^2
2,1,2,14880150478/10935,x^2*Y*q_d^2
2,2,2,23234948689/116640,x^2*Y^2*q_d^2
2,3,2,-2367808501561/349920,x^2*Y^3*q_d^2
2,4,2,1437753126009083/151165440,x^2*Y^4*q_d^2
2,5,2,32380716628493/8398080,x^2*Y^5*q_d^2
2,6,2,-1778138018083483/80621568,x^2*Y^6*q_d^2
2,7,2,1417495187304181/80621568,x^2*Y^7*q_d^2
2,8,2,7827699919947727/1612431360,x^2*Y^8*q_d^2
2,9,2,-10565496736819969/806215680,x^2*Y^9*q_d^2
2,10,2,26550126753160381/6449725440,x^2*Y^10*q_d^2
2,11,2,3539000353505141/2149908480,x^2*Y^11*q_d^2
2,12,2,-239722892185987/318504960,x^2*Y^12*q_d^2
2,13,2,-57141719646347/1074954240,x^2*Y^13*q_d^2
3,-3,2,-63488/315,x^3*Y^-3*q_d^2
3,-2,2,-3584/135,x^3*Y^-2*q_d^2
3,-1,2,-6775232/405,x^3*Y^-1*q_d^2
3,0,2,34786538/1215,x^3*q_d^2
3,1,2,805199731/7290,x^3*Y*q_d^2
3,2,2,-56685237383/87480,x^3*Y^2*q_d^2
3,3,2,48979258643/58320,x^3*Y^3*q_d^2
3,4,2,5826120517541/4199040,x^3*Y^4*q_d^2
3,5,2,-243934087304131/50388480,x^3*Y^5*q_d^2
3,6,2,800611532758211/201553920,x^3*Y^6*q_d^2
3,7,2,62927877620551/33592320,x^3*Y^7*q_d^2
3,8,2,-252761609378549/44789760,x^3*Y^8*q_d^2
3,9,2,1407076236228509/403107840,x^3*Y^9*q_d^2
3,10,2,13055963595409/107495424,x^3*Y^10*q_d^2
3,11,2,-4576204638714121/4837294080,x^3*Y^11*q_d^2
3,12,2,9479822684728753/38698352640,x^3*Y^12*q_d^2
3,13,2,50993282669399/1934917632,x^3*Y^13*q_d^2
4,-1,2,-63488/135,x^4*Y^-1*q_d^2
4,0,2,860288/405,x^4*q_d^2
4,1,2,-228856/15,x^4*Y*q_d^2
4,2,2,-134808571/58320,x^4*Y^2*q_d^2
4,3,2,26888862547/174960,x^4*Y^3*q_d^2
4,4,2,-554918805401/1399680,x^4*Y^4*q_d^2
4,5,2,533682863293/2099520,x^4*Y^5*q_d^2
4,6,2,265513320530351/403107840,x^4*Y^6*q_d^2
4,7,2,-559001811062099/403107840,x^4*Y^7*q_d^2
4,8,2,258629533509083/322486272,x^4*Y^8*q_d^2
4,9,2,184035513615611/806215680,x^4*Y^9*q_d^2
4,10,2,-5857128695701073/12899450880,x^4*Y^10*q_d^2
4,11,2,2205645960262549/12899450880,x^4*Y^11*q_d^2
4,12,2,-1476170066874811/154793410560,x^4*Y^12*q_d^2
4,13,2,-9978861472027/1934917632,x^4*Y^13*q_d^2
5,1,2,-194432/405,x^5*Y*q_d^2
5,2,2,828968/405,x^5*Y^2*q_d^2
5,3,2,-17471677/2430,x^5*Y^3*q_d^2
5,4,2,-3129055919/349920,x^5*Y^4*q_d^2
5,5,2,6714874919/93312,x^5*Y^5*q_d^2
5,6,2,-113363583271/933120,x^5*Y^6*q_d^2
5,7,2,10728258231779/201553920,x^5*Y^7*q_d^2
5,8,2,29251007693903/268738560,x^5*Y^8*q_d^2
5,9,2,-67995156039937/403107840,x^5*Y^9*q_d^2
5,10,2,107835761191417/1612431360,x^5*Y^10*q_d^2
5,11,2,1586463201421/100776960,x^5*Y^11*q_d^2
5,12,2,-149874059587063/12899450880,x^5*Y^12*q_d^2
5,13,2,-209424514271/604661760,x^5*Y^13*q_d^2
6,3,2,-340256/1215,x^6*Y^3*q_d^2
6,4,2,707315/729,x^6*Y^4*q_d^2
6,5,2,-195486823/87480,x^6*Y^5*q_d^2
6,6,2,-17071247333/5598720,x^6*Y^6*q_d^2
6,7,2,271215235949/16796160,x^6*Y^7*q_d^2
6,8,2,-15379581967099/806215680,x^6*Y^8*q_d^2
6,9,2,2528211452557/403107840,x^6*Y^9*q_d^2
6,10,2,40271185431869/6449725440,x^6*Y^10*q_d^2
6,11,2,-342337799741/47775744,x^6*Y^11*q_d^2
6,12,2,48288409804439/25798901760,x^6*Y^12*q_d^2
6,13,2,90374785277/322486272,x^6*Y^13*q_d^2
7,5,2,-74431/729,x^7*Y^5*q_d^2
7,6,2,23568559/87480,x^7*Y^6*q_d^2
7,7,2,-66805081/139968,x^7*Y^7*q_d^2
7,8,2,-24767478799/67184640,x^7*Y^8*q_d^2
7,9,2,1456601560687/806215680,x^7*Y^9*q_d^2
7,10,2,-876836227463/644972544,x^7*Y^10*q_d^2
7,11,2,344658841639/3224862720,x^7*Y^11*q_d^2
7,12,2,1718114348419/12899450880,x^7*Y^12*q_d^2
7,13,2,-18331243637/1074954240,x^7*Y^13*q_d^2
8,7,2,-521017/21870,x^8*Y^7*q_d^2
8,8,2,559433/12960,x^8*Y^8*q_d^2
8,9,2,-333856649/5598720,x^8*Y^9*q_d^2
8,10,2,-97874524867/12899450880,x^8*Y^10*q_d^2
8,11,2,409050967717/4299816960,x^8*Y^11*q_d^2
8,12,2,-2231847060163/51597803520,x^8*Y^12*q_d^2
8,13,2,-4299718003/644972544,x^8*Y^13*q_d^2
9,9,2,-3647119/1049760,x^9*Y^9*q_d^2
9,10,2,174238169/50388480,x^9*Y^10*q_d^2
9,11,2,-13496071421/4837294080,x^9*Y^11*q_d^2
9,12,2,26027841217/19349176320,x^9*Y^12*q_d^2
9,13,2,3756179623/4837294080,x^9*Y^13*q_d^2
10,11,2,-3647119/12597120,x^10*Y^11*q_d^2
10,12,2,213297637/2418647040,x^10*Y^12*q_d^2
10,13,2,331887829/4837294080,x^10*Y^13*q_d^2
11,13,2,-25529833/2418647040,x^11*Y^13*q_d^2
0,-5,3,5888/15,Y^-5*q_d^3
0,-4,3,335744/45,Y^-4*q_d^3
0,-3,3,5819264/135,Y^-3*q_d^3
0,-2,3,11662448/405,Y^-2*q_d^3
0,-1,3,-494169514/1215,Y^-1*q_d^3
0,0,3,-1824752338/3645,q_d^3
0,1,3,45592080889/21870,Y*q_d^3
0,2,3,157283556997/104976,Y^2*q_d^3
0,3,3,-163425563730949/25194240,Y^3*q_d^3
0,4,3,5963022164461/16796160,Y^4*q_d^3
0,5,3,50215987439359/5598720,Y^5*q_d^3
0,6,3,-77565862206289/16796160,Y^6*q_d^3
0,7,3,-32112450218009/7464960,Y^7*q_d^3
0,8,3,31401048905333/8957952,Y^8*q_d^3
0,9,3,25783458272173/40310784,Y^9*q_d^3
0,10,3,-5089509179867/5971968,Y^10*q_d^3
0,11,3,-7139587249025/143327232,Y^11*q_d^3
0,12,3,64580034141217/859963392,Y^12*q_d^3
0,13,3,2527548174445/286654464,Y^13*q_d^3
1,-4,3,32768/15,x*Y^-4*q_d^3
1,-3,3,701696/45,x*Y^-3*q_d^3
1,-2,3,-502784/45,x*Y^-2*q_d^3
1,-1,3,-55581016/405,x*Y^-1*q_d^3
1,0,3,421146308/1215,x*q_d^3
1,1,3,1103702369/2430,x*Y*q_d^3
1,2,3,-63371550779/21870,x*Y^2*q_d^3
1,3,3,1613814045559/1049760,x*Y^3*q_d^3
1,4,3,15551183105239/2099520,x*Y^4*q_d^3
1,5,3,-56392409660231/5598720,x*Y^5*q_d^3
1,6,3,-65661241908329/25194240,x*Y^6*q_d^3
1,7,3,736344145125553/67184640,x*Y^7*q_d^3
1,8,3,-92777838669281/26873856,x*Y^8*q_d^3
1,9,3,-231485747688083/67184640,x*Y^9*q_d^3
1,10,3,464298236793181/268738560,x*Y^10*q_d^3
1,11,3,434051414784197/1074954240,x*Y^11*q_d^3
1,12,3,-1289329192051243/6449725440,x*Y^12*q_d^3
1,13,3,-27512080412425/859963392,x*Y^13*q_d^3
2,-3,3,6144/5,x^2*Y^-3*q_d^3
2,-2,3,-60928/45,x^2*Y^-2*q_d^3
2,-1,3,486128/45,x^2*Y^-1*q_d^3
2,0,3,11877332/135,x^2*q_d^3
2,1,3,-387969454/1215,x^2*Y*q_d^3
2,2,3,-95647624/1215,x^2*Y^2*q_d^3
2,3,3,103039480333/58320,x^2*Y^3*q_d^3
2,4,3,-5740267919473/2099520,x^2*Y^4*q_d^3
2,5,3,-1602840483259/2099520,x^2*Y^5*q_d^3
2,6,3,7025280084955/1119744,x^2*Y^6*q_d^3
2,7,3,-346823738727419/67184640,x^2*Y^7*q_d^3
2,8,3,-3345711907723/2099520,x^2*Y^8*q_d^3
2,9,3,1010256945237841/268738560,x^2*Y^9*q_d^3
2,10,3,-13379339804831/16796160,x^2*Y^10*q_d^3
2,11,3,-145624443452747/214990848,x^2*Y^11*q_d^3
2,12,3,2414087714143/13271040,x^2*Y^12*q_d^3
2,13,3,21365857119061/477757440,x^2*Y^13*q_d^3
3,-1,3,17920/9,x^3*Y^-1*q_d^3
3,0,3,66944/135,x^3*q_d^3
3,1,3,-8799568/405,x^3*Y*q_d^3
3,2,3,162239503/1215,x^3*Y^2*q_d^3
3,3,3,-1058434109/5832,x^3*Y^3*q_d^3
3,4,3,-6777462587/17496,x^3*Y^4*q_d^3
3,5,3,304255767193/233280,x^3*Y^5*q_d^3
3,6,3,-9193328551217/8398080,x^3*Y^6*q_d^3
3,7,3,-40925872561969/67184640,x^3*Y^7*q_d^3
3,8,3,123453357097853/67184640,x^3*Y^8*q_d^3
3,9,3,-145701925463101/134369280,x^3*Y^9*q_d^3
3,10,3,-30124796357453/134369280,x^3*Y^10*q_d^3
3,11,3,24583322038289/59719680,x^3*Y^11*q_d^3
3,12,3,-366205176521009/6449725440,x^3*Y^12*q_d^3
3,13,3,-4246842424685/143327232,x^3*Y^13*q_d^3
4,1,3,12544/9,x^4*Y*q_d^3
4,2,3,1506968/405,x^4*Y^2*q_d^3
4,3,3,-272001851/9720,x^4*Y^3*q_d^3
4,4,3,76434175/972,x^4*Y^4*q_d^3
4,5,3,-835833335/17496,x^4*Y^5*q_d^3
4,6,3,-343966618597/1679616,x^4*Y^6*q_d^3
4,7,3,27607232380681/67184640,x^4*Y^7*q_d^3
4,8,3,-29617780327271/134369280,x^4*Y^8*q_d^3
4,9,3,-9168149463389/80621568,x^4*Y^9*q_d^3
4,10,3,52326409690793/268738560,x^4*Y^10*q_d^3
4,11,3,-55894706946127/716636160,x^4*Y^11*q_d^3
4,12,3,-23045250710951/4299816960,x^4*Y^12*q_d^3
4,13,3,936324743221/107495424,x^4*Y^13*q_d^3
5,3,3,79576/135,x^5*Y^3*q_d^3
5,4,3,708484/243,x^5*Y^4*q_d^3
5,5,3,-134267063/9720,x^5*Y^5*q_d^3
5,6,3,972053173/38880,x^5*Y^6*q_d^3
5,7,3,-148255483333/16796160,x^5*Y^7*q_d^3
5,8,3,-1436494491431/33592320,x^5*Y^8*q_d^3
5,9,3,1811916748943/29859840,x^5*Y^9*q_d^3
5,10,3,-2591640810073/134369280,x^5*Y^10*q_d^3
5,11,3,-5309668858991/537477120,x^5*Y^11*q_d^3
5,12,3,12254261368447/2149908480,x^5*Y^12*q_d^3
5,13,3,-206731528661/716636160,x^5*Y^13*q_d^3
6,5,3,45619/243,x^6*Y^5*q_d^3
6,6,3,30003631/29160,x^6*Y^6*q_d^3
