j,n,d,k,value,positive
6,5,12,1,1373/4,True
6,5,12,2,459585/8,True
6,5,12,3,1196413055/192,True
6,5,12,4,376955294365/768,True
6,5,12,5,15257511029387/512,True
6,5,12,6,1109263437448681/768,True
6,5,12,7,350916472444839475/6144,True
6,5,12,8,717284247669732175/384,True
6,6,13,0,1,True
6,6,13,1,3067/8,True
6,6,13,2,4584825/64,True
6,6,13,3,4439904471/512,True
6,6,13,4,195036774125/256,True
6,6,13,5,316789911389441/6144,True
6,6,13,6,34207875899918243/12288,True
6,6,13,7,12046103562784683737/98304,True
6,6,13,8,27388013886330048899/6144,True
6,7,14,0,1,True
6,7,14,1,847/2,True
6,7,14,2,2097305/24,True
6,7,14,3,6725594687/576,True
6,7,14,4,3476888188991/3072,True
6,7,14,5,2335241931437695/27648,True
6,7,14,6,277899768876333415/55296,True
6,7,14,7,161671811609109953081/663552,True
6,7,14,8,4855009462403601257659/497664,True
6,8,15,0,1,True
6,8,15,1,3709/8,True
6,8,15,2,6700645/64,True
6,8,15,3,7835617765/512,True
6,8,15,4,12977094555/8,True
6,8,15,5,1625867436123913/12288,True
6,8,15,6,563647849347162573/65536,True
6,8,15,7,716064276358844025755/1572864,True
6,8,15,8,122219691284688740725/6144,True
7,0,8,0,1,True
7,0,8,1,217,True
7,0,8,2,184849/8,True
7,0,8,3,38598343/24,True
7,0,8,4,63139436885/768,True
7,0,8,5,1419860303561/432,True
7,0,8,6,5906652608483501/55296,True
7,0,8,7,106752272639789741/36864,True
7,0,8,8,353889719791326548921/5308416,True
7,1,9,0,1,True
7,1,9,1,2163/8,True
7,1,9,2,2299377/64,True
7,1,9,3,1600001203/512,True
7,1,9,4,1598842779/8,True
7,1,9,5,81958821881983/8192,True
7,1,9,6,6674833948611771/16384,True
7,1,9,7,5442900421153275461/393216,True
7,1,9,8,52343073792448121337/131072,True
7,2,10,0,1,True
7,2,10,1,1295/4,True
7,2,10,2,412281/8,True
7,2,10,3,343749751/64,True
7,2,10,4,1264498293755/3072,True
7,2,10,5,303379289969903/12288,True
7,2,10,6,22195904580967165/18432,True
7,2,10,7,7222671065357059247/147456,True
7,2,10,8,62320688489341243291/36864,True
7,3,11,0,1,True
7,3,11,1,3017/8,True
7,3,11,2,4475405/64,True
7,3,11,3,13038183835/1536,True
7,3,11,4,96954773315/128,True
7,3,11,5,5848128223616189/110592,True
7,3,11,6,5309208244633001351/1769472,True
7,3,11,7,2008482101823318929495/14155776,True
7,3,11,8,241580314404126736181155/42467328,True
7,4,12,0,1,True
7,4,12,1,861/2,True
7,4,12,2,91107,True
7,4,12,3,201900955/16,True
7,4,12,4,164397522995/128,True
7,4,12,5,157016145617641/1536,True
7,4,12,6,243637381505488727/36864,True
7,4,12,7,26238757916118493171/73728,True
7,4,12,8,4788401649197425770335/294912,True
7,5,13,0,1,True
7,5,13,1,3871/8,True
7,5,13,2,7364577/64,True
7,5,13,3,9166945399/512,True
7,5,13,4,3143159856605/1536,True
7,5,13,5,4492747736280193/24576,True
7,5,13,6,244397158044109627/18432,True
7,5,13,7,236087001335958481883/294912,True
7,5,13,8,8046112295042996758723/196608,True
7,6,14,0,1,True
7,6,14,1,2149/4,True
7,6,14,2,567287/4,True
7,6,14,3,4701392003/192,True
7,6,14,4,9536802801211/3072,True
7,6,14,5,34008292273628813/110592,True
7,6,14,6,56953233771268051/2304,True
7,6,14,7,182830249417334030897/110592,True
7,6,14,8,248349634091539446005953/2654208,True
7,7,15,0,1,True
7,7,15,1,4725/8,True
7,7,15,2,10966893/64,True
7,7,15,3,16643769933/512,True
7,7,15,4,2317691314785/512,True
7,7,15,5,6049627260109783/12288,True
7,7,15,6,2846452168815882445/65536,True
7,7,15,7,1670670162642231436881/524288,True
7,7,15,8,311043711433183922328331/1572864,True
7,8,16,0,1,True
7,8,16,1,644,True
7,8,16,2,1629435/8,True
7,8,16,3,168435615/4,True
7,8,16,4,1635426696975/256,True
7,8,16,5,72642103013567/96,True
7,8,16,6,446527649539969117/6144,True
7,8,16,7,2970960458060084765/512,True
7,8,16,8,25672704216280622784285/65536,True
8,0,9,0,1,True
8,0,9,1,627/2,True
8,0,9,2,1551081/32,True
8,0,9,3,630534989/128,True
8,0,9,4,1515355749369/4096,True
8,0,9,5,22407913272297/1024,True
8,0,9,6,17378661973721475/16384,True
8,0,9,7,709145040976284301/16384,True
8,0,9,8,794593803111748143837/524288,True
8,1,10,0,1,True
8,1,10,1,382,True
8,1,10,2,2305695/32,True
8,1,10,3,3433957133/384,True
8,1,10,4,2521933308449/3072,True
8,1,10,5,182477701594057/3072,True
8,1,10,6,346462920519381755/98304,True
8,1,10,7,23084481639861300385/131072,True
8,1,10,8,5941084805901615503779/786432,True
8,2,11,0,1,True
8,2,11,1,901/2,True
8,2,11,2,1603987/16,True
8,2,11,3,1409542699/96,True
8,2,11,4,19548784750165/12288,True
