qd_power,qdm1_power,Y_power,coefficient,sign,monomial
1,1,10,-1575828280718755/286654464,-,Y^10*q_d*q_{d-1}
1,1,11,-415185654198161/47775744,-,Y^11*q_d*q_{d-1}
1,1,12,321051736678015/127401984,+,Y^12*q_d*q_{d-1}
1,1,13,317064055/1458,+,Y^13*q_d*q_{d-1}
2,1,-5,-256/105,-,Y^-5*q_d^2*q_{d-1}
2,1,-4,-161536/945,-,Y^-4*q_d^2*q_{d-1}
2,1,-3,-316576/81,-,Y^-3*q_d^2*q_{d-1}
2,1,-2,-1614272/45,-,Y^-2*q_d^2*q_{d-1}
2,1,-1,-321980704/3645,-,Y^-1*q_d^2*q_{d-1}
2,1,0,4933997494/10935,+,q_d^2*q_{d-1}
2,1,1,28233103541/17496,+,Y*q_d^2*q_{d-1}
2,1,2,-3279066550853/787320,-,Y^2*q_d^2*q_{d-1}
2,1,3,-632612885321051/75582720,-,Y^3*q_d^2*q_{d-1}
2,1,4,2000923056382637/75582720,+,Y^4*q_d^2*q_{d-1}
2,1,5,216080941863649/100776960,+,Y^5*q_d^2*q_{d-1}
2,1,6,-12863387471598403/201553920,-,Y^6*q_d^2*q_{d-1}
2,1,7,22934103810360577/403107840,+,Y^7*q_d^2*q_{d-1}
2,1,8,645093795533477/29859840,+,Y^8*q_d^2*q_{d-1}
2,1,9,-31191668987118547/537477120,-,Y^9*q_d^2*q_{d-1}
2,1,10,28466362812863689/1074954240,+,Y^10*q_d^2*q_{d-1}
2,1,11,374869840325939/134369280,+,Y^11*q_d^2*q_{d-1}
2,1,12,-4139277067180003/859963392,-,Y^12*q_d^2*q_{d-1}
2,1,13,189165454472617/214990848,+,Y^13*q_d^2*q_{d-1}
3,1,-4,1024/35,+,Y^-4*q_d^3*q_{d-1}
3,1,-3,142144/135,+,Y^-3*q_d^3*q_{d-1}
3,1,-2,35013352/2835,+,Y^-2*q_d^3*q_{d-1}
3,1,-1,15819184/405,+,Y^-1*q_d^3*q_{d-1}
3,1,0,-1222011961/7290,-,q_d^3*q_{d-1}
3,1,1,-7732678952/10935,-,Y*q_d^3*q_{d-1}
3,1,2,700698373109/349920,+,Y^2*q_d^3*q_{d-1}
3,1,3,363605797414/98415,+,Y^3*q_d^3*q_{d-1}
3,1,4,-2295423701996719/151165440,-,Y^4*q_d^3*q_{d-1}
3,1,5,1216468484038981/302330880,+,Y^5*q_d^3*q_{d-1}
3,1,6,15292215604796509/403107840,+,Y^6*q_d^3*q_{d-1}
3,1,7,-5193456298786799/100776960,-,Y^7*q_d^3*q_{d-1}
3,1,8,341163447881669/322486272,+,Y^8*q_d^3*q_{d-1}
3,1,9,37754500510948601/806215680,+,Y^9*q_d^3*q_{d-1}
3,1,10,-25413381960345967/716636160,-,Y^10*q_d^3*q_{d-1}
3,1,11,1283674238466949/358318080,+,Y^11*q_d^3*q_{d-1}
3,1,12,48687980988315977/8599633920,+,Y^12*q_d^3*q_{d-1}
3,1,13,-1682128311012121/955514880,-,Y^13*q_d^3*q_{d-1}
3,1,14,-5170146129533/214990848,-,Y^14*q_d^3*q_{d-1}
4,1,-3,-31744/315,-,Y^-3*q_d^4*q_{d-1}
4,1,-2,-2272384/945,-,Y^-2*q_d^4*q_{d-1}
4,1,-1,-5414504/405,-,Y^-1*q_d^4*q_{d-1}
4,1,0,40310098/1215,+,q_d^4*q_{d-1}
4,1,1,191948069/729,+,Y*q_d^4*q_{d-1}
4,1,2,-16857145441/29160,-,Y^2*q_d^4*q_{d-1}
4,1,3,-586079877491/349920,-,Y^3*q_d^4*q_{d-1}
4,1,4,24872005287953/4199040,+,Y^4*q_d^4*q_{d-1}
4,1,5,-25273434384527/37791360,-,Y^5*q_d^4*q_{d-1}
4,1,6,-1239941857729991/67184640,-,Y^6*q_d^4*q_{d-1}
4,1,7,1246442711209901/50388480,+,Y^7*q_d^4*q_{d-1}
4,1,8,188528372346967/100776960,+,Y^8*q_d^4*q_{d-1}
4,1,9,-15265786728552781/537477120,-,Y^9*q_d^4*q_{d-1}
4,1,10,16962024910697503/806215680,+,Y^10*q_d^4*q_{d-1}
4,1,11,-15188693095072679/19349176320,-,Y^11*q_d^4*q_{d-1}
4,1,12,-60217869585731431/12899450880,-,Y^12*q_d^4*q_{d-1}
4,1,13,10169118632512469/7739670528,+,Y^13*q_d^4*q_{d-1}
4,1,14,198231386410967/2866544640,+,Y^14*q_d^4*q_{d-1}
5,1,-2,20992/105,+,Y^-2*q_d^5*q_{d-1}
5,1,-1,341216/135,+,Y^-1*q_d^5*q_{d-1}
5,1,0,-113224/81,-,q_d^5*q_{d-1}
5,1,1,-5252681/81,-,Y*q_d^5*q_{d-1}
5,1,2,4958540833/58320,+,Y^2*q_d^5*q_{d-1}
5,1,3,100988716541/174960,+,Y^3*q_d^5*q_{d-1}
5,1,4,-2121956858701/1399680,-,Y^4*q_d^5*q_{d-1}
5,1,5,-6180016059817/8398080,-,Y^5*q_d^5*q_{d-1}
5,1,6,543307767769271/80621568,+,Y^6*q_d^5*q_{d-1}
5,1,7,-2811337856905621/403107840,-,Y^7*q_d^5*q_{d-1}
5,1,8,-1312838828718707/322486272,-,Y^8*q_d^5*q_{d-1}
5,1,9,10125898226424127/806215680,+,Y^9*q_d^5*q_{d-1}
5,1,10,-90925549570168201/12899450880,-,Y^10*q_d^5*q_{d-1}
5,1,11,-5324190835698763/3224862720,-,Y^11*q_d^5*q_{d-1}
5,1,12,422265509322619291/154793410560,+,Y^12*q_d^5*q_{d-1}
5,1,13,-10417692891888863/19349176320,-,Y^13*q_d^5*q_{d-1}
5,1,14,-2321179250708059/25798901760,-,Y^14*q_d^5*q_{d-1}
5,1,15,-292039053859/1433272320,-,Y^15*q_d^5*q_{d-1}
6,1,-1,-1024/5,-,Y^-1*q_d^6*q_{d-1}
6,1,0,-82688/135,-,q_d^6*q_{d-1}
6,1,1,3819388/405,+,Y*q_d^6*q_{d-1}
6,1,2,-741542/405,-,Y^2*q_d^6*q_{d-1}
6,1,3,-970220321/7290,-,Y^3*q_d^6*q_{d-1}
6,1,4,89534796187/349920,+,Y^4*q_d^6*q_{d-1}
6,1,5,606939338131/1399680,+,Y^5*q_d^6*q_{d-1}
6,1,6,-15160088690363/8398080,-,Y^6*q_d^6*q_{d-1}
6,1,7,230574554344733/201553920,+,Y^7*q_d^6*q_{d-1}
6,1,8,1946695407098303/806215680,+,Y^8*q_d^6*q_{d-1}
6,1,9,-6592796976097303/1612431360,-,Y^9*q_d^6*q_{d-1}
6,1,10,200376608167841/161243136,+,Y^10*q_d^6*q_{d-1}
6,1,11,4878393274171487/3224862720,+,Y^11*q_d^6*q_{d-1}
6,1,12,-1232207596207693/1074954240,-,Y^12*q_d^6*q_{d-1}
6,1,13,847720704017971/9674588160,+,Y^13*q_d^6*q_{d-1}
6,1,14,180013689118039/2418647040,+,Y^14*q_d^6*q_{d-1}
6,1,15,664214606419/716636160,+,Y^15*q_d^6*q_{d-1}
7,1,0,256/3,+,q_d^7*q_{d-1}
7,1,1,-27776/45,-,Y*q_d^7*q_{d-1}
7,1,2,-115472/81,-,Y^2*q_d^7*q_{d-1}
7,1,3,46906591/2430,+,Y^3*q_d^7*q_{d-1}
7,1,4,-719008283/29160,-,Y^4*q_d^7*q_{d-1}
7,1,5,-28830931669/233280,-,Y^5*q_d^7*q_{d-1}
7,1,6,1946771656853/5598720,+,Y^6*q_d^7*q_{d-1}
7,1,7,-11806694053/419904,-,Y^7*q_d^7*q_{d-1}
7,1,8,-138092312430221/161243136,-,Y^8*q_d^7*q_{d-1}
7,1,9,516262810056841/537477120,+,Y^9*q_d^7*q_{d-1}
7,1,10,618450438905369/6449725440,+,Y^10*q_d^7*q_{d-1}
7,1,11,-4690935780569227/6449725440,-,Y^11*q_d^7*q_{d-1}
7,1,12,2878632316676627/8599633920,+,Y^12*q_d^7*q_{d-1}
7,1,13,208919499751123/4299816960,+,Y^13*q_d^7*q_{d-1}
7,1,14,-829964215309649/19349176320,-,Y^14*q_d^7*q_{d-1}
7,1,15,-1302125131769/716636160,-,Y^15*q_d^7*q_{d-1}
7,1,16,-3902770277/2579890176,-,Y^16*q_d^7*q_{d-1}
8,1,2,1472/9,+,Y^2*q_d^8*q_{d-1}
8,1,3,-66904/45,-,Y^3*q_d^8*q_{d-1}
8,1,4,243368/405,+,Y^4*q_d^8*q_{d-1}
8,1,5,1216096283/58320,+,Y^5*q_d^8*q_{d-1}
8,1,6,-1941901877/43740,-,Y^6*q_d^8*q_{d-1}
8,1,7,-227818899581/5598720,-,Y^7*q_d^8*q_{d-1}
8,1,8,4557340491319/22394880,+,Y^8*q_d^8*q_{d-1}
8,1,9,-56687042101943/403107840,-,Y^9*q_d^8*q_{d-1}
8,1,10,-485439684951767/3224862720,-,Y^10*q_d^8*q_{d-1}
8,1,11,749850274677791/3224862720,+,Y^11*q_d^8*q_{d-1}
8,1,12,-664344996371119/12899450880,-,Y^12*q_d^8*q_{d-1}
8,1,13,-102201286684763/2149908480,-,Y^13*q_d^8*q_{d-1}
8,1,14,73386986377901/4299816960,+,Y^14*q_d^8*q_{d-1}
8,1,15,4419247151669/2149908480,+,Y^15*q_d^8*q_{d-1}
8,1,16,7719068539/859963392,+,Y^16*q_d^8*q_{d-1}
9,1,3,112/3,+,Y^3*q_d^9*q_{d-1}
9,1,4,644/9,+,Y^4*q_d^9*q_{d-1}
9,1,5,-52675/27,-,Y^5*q_d^9*q_{d-1}
9,1,6,2309615/729,+,Y^6*q_d^9*q_{d-1}
9,1,7,15546253961/1399680,+,Y^7*q_d^9*q_{d-1}
9,1,8,-176601451537/5598720,-,Y^8*q_d^9*q_{d-1}
9,1,9,624874454533/134369280,+,Y^9*q_d^9*q_{d-1}
9,1,10,695631010905173/12899450880,+,Y^10*q_d^9*q_{d-1}
9,1,11,-7831806277673/161243136,-,Y^11*q_d^9*q_{d-1}
9,1,12,-353357789031037/51597803520,-,Y^12*q_d^9*q_{d-1}
9,1,13,110881650090869/5159780352,+,Y^13*q_d^9*q_{d-1}
9,1,14,-4301337138959/1074954240,-,Y^14*q_d^9*q_{d-1}
9,1,15,-72342252451/47775744,-,Y^15*q_d^9*q_{d-1}
9,1,16,-19640677007/859963392,-,Y^16*q_d^9*q_{d-1}
9,1,17,-5764801/859963392,-,Y^17*q_d^9*q_{d-1}
10,1,5,686/9,+,Y^5*q_d^10*q_{d-1}
10,1,6,-6566/81,-,Y^6*q_d^10*q_{d-1}
10,1,7,-327565/243,-,Y^7*q_d^10*q_{d-1}
10,1,8,996895249/349920,+,Y^8*q_d^10*q_{d-1}
10,1,9,89361907061/33592320,+,Y^9*q_d^10*q_{d-1}
10,1,10,-432993659749/40310784,-,Y^10*q_d^10*q_{d-1}
10,1,11,20183631265105/3869835264,+,Y^11*q_d^10*q_{d-1}
10,1,12,9407004066719/1433272320,+,Y^12*q_d^10*q_{d-1}
10,1,13,-23143740302389/3869835264,-,Y^13*q_d^10*q_{d-1}
10,1,14,-146375675663/25798901760,-,Y^14*q_d^10*q_{d-1}
10,1,15,1633848016871/2149908480,+,Y^15*q_d^10*q_{d-1}
10,1,16,84125740993/2579890176,+,Y^16*q_d^10*q_{d-1}
10,1,17,40353607/859963392,+,Y^17*q_d^10*q_{d-1}
11,1,7,2401/36,+,Y^7*q_d^11*q_{d-1}
11,1,8,-430465/3888,-,Y^8*q_d^11*q_{d-1}
11,1,9,-6703249/12960,-,Y^9*q_d^11*q_{d-1}
11,1,10,1105996297/933120,+,Y^10*q_d^11*q_{d-1}
11,1,11,127250682349/806215680,+,Y^11*q_d^11*q_{d-1}
11,1,12,-17753627915107/9674588160,-,Y^12*q_d^11*q_{d-1}
11,1,13,36128682084607/38698352640,+,Y^13*q_d^11*q_{d-1}
11,1,14,3458081443957/8599633920,+,Y^14*q_d^11*q_{d-1}
11,1,15,-60517116163/238878720,-,Y^15*q_d^11*q_{d-1}
11,1,16,-24702172285/859963392,-,Y^16*q_d^11*q_{d-1}
11,1,17,-40353607/286654464,-,Y^17*q_d^11*q_{d-1}
12,1,9,84035/2592,+,Y^9*q_d^12*q_{d-1}
12,1,10,-290521/5184,-,Y^10*q_d^12*q_{d-1}
12,1,11,-70246057/622080,-,Y^11*q_d^12*q_{d-1}
12,1,12,5147419865/20155392,+,Y^12*q_d^12*q_{d-1}
12,1,13,-575301216203/19349176320,-,Y^13*q_d^12*q_{d-1}
12,1,14,-5984410724341/38698352640,-,Y^14*q_d^12*q_{d-1}
12,1,15,35266581889/716636160,+,Y^15*q_d^12*q_{d-1}
12,1,16,4629135203/286654464,+,Y^16*q_d^12*q_{d-1}
12,1,17,201768035/859963392,+,Y^17*q_d^12*q_{d-1}
13,1,11,588245/62208,+,Y^11*q_d^13*q_{d-1}
13,1,12,-32756843/2239488,-,Y^12*q_d^13*q_{d-1}
13,1,13,-1891779113/134369280,-,Y^13*q_d^13*q_{d-1}
13,1,14,266158156243/9674588160,+,Y^14*q_d^13*q_{d-1}
13,1,15,-10310405413/4299816960,-,Y^15*q_d^13*q_{d-1}
13,1,16,-14798244167/2579890176,-,Y^16*q_d^13*q_{d-1}
13,1,17,-201768035/859963392,-,Y^17*q_d^13*q_{d-1}
14,1,13,823543/497664,+,Y^13*q_d^14*q_{d-1}
14,1,14,-823543/419904,-,Y^14*q_d^14*q_{d-1}
14,1,15,-14000231/13436928,-,Y^15*q_d^14*q_{d-1}
14,1,16,340123259/286654464,+,Y^16*q_d^14*q_{d-1}
14,1,17,40353607/286654464,+,Y^17*q_d^14*q_{d-1}
15,1,15,5764801/35831808,+,Y^15*q_d^15*q_{d-1}
15,1,16,-5764801/53747712,-,Y^16*q_d^15*q_{d-1}
15,1,17,-40353607/859963392,-,Y^17*q_d^15*q_{d-1}
16,1,17,5764801/859963392,+,Y^17*q_d^16*q_{d-1}
2,2,-4,-1216/105,-,Y^-4*q_d^2*q_{d-1}^2
2,2,-3,-65216/189,-,Y^-3*q_d^2*q_{d-1}^2
2,2,-2,-8938688/2835,-,Y^-2*q_d^2*q_{d-1}^2
2,2,-1,-1795064/405,-,Y^-1*q_d^2*q_{d-1}^2
2,2,0,81772049/1458,+,q_d^2*q_{d-1}^2
2,2,1,752944861/10935,+,Y*q_d^2*q_{d-1}^2
2,2,2,-4471979915/5832,-,Y^2*q_d^2*q_{d-1}^2
2,2,3,21852511159/3149280,+,Y^3*q_d^2*q_{d-1}^2
2,2,4,1597257965820877/302330880,+,Y^4*q_d^2*q_{d-1}^2
2,2,5,-570073517779027/100776960,-,Y^5*q_d^2*q_{d-1}^2
2,2,6,-1239707503764383/100776960,-,Y^6*q_d^2*q_{d-1}^2
2,2,7,702708140503763/26873856,+,Y^7*q_d^2*q_{d-1}^2
2,2,8,-579177901202179/161243136,-,Y^8*q_d^2*q_{d-1}^2
2,2,9,-2863708387183951/107495424,-,Y^9*q_d^2*q_{d-1}^2
